Year since Katrina,Affected by Katrina,Rural-urban Continuum Code ,Urban Influence Code,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Personal income (thousands of dollars), Net earnings by place of residence, Personal current transfer receipts,  Income maintenance benefits,  Unemployment insurance compensation,  Retirement and other," Dividends, interest, and rent", Population (persons), Per capita personal income, Per capita net earnings, Per capita personal current transfer receipts,  Per capita income maintenance benefits,  Per capita unemployment insurance compensation,  Per capita retirement and other," Per capita dividends, interest, and rent", Earnings by place of work,  Wages and salaries,  Supplements to wages and salaries,   Employer contributions for employee pension and insurance funds,   Employer contributions for government social insurance,  Proprietors' income,   Farm proprietors' income,   Nonfarm proprietors' income,Total employment (number of jobs), Wage and salary employment, Proprietors employment,  Farm proprietors employment,  Nonfarm proprietors employment,Average earnings per job (dollars), Average wages and salaries, Average nonfarm proprietors' income,Patent Grants
0,1,1,1,28.3,32.5,26.8,12.3,692782,476890,137576,15738,1828,120010,78316,26968,25689,17684,5101,584,68,4450,2904,275862,175358,45710,32501,13209,54794,11011,43783,9650,6653,2997,564,2433,28587,26358,17995,1
0,1,5,8,34.7,24.3,22.1,18.8,870408,507101,241669,48136,3248,190285,121638,36305,23975,13968,6657,1326,89,5241,3350,528572,356419,95043,68862,26181,77110,46855,30255,15998,13538,2460,359,2101,33040,26327,14400,1
10,1,5,8,11.9,21.1,24.4,42.6,1548104,904233,336117,41616,2247,292254,307754,49480,31287,18275,6793,841,45,5907,6220,1093327,790366,218068,159490,58578,84893,687,84206,28775,23546,5229,333,4896,37996,33567,17199,8
2,1,3,2,25.4,33.8,24.3,16.5,4443753,2582102,1101572,108878,5689,987005,760079,130238,34120,19826,8458,836,44,7578,5836,3161886,2286080,568482,423428,145054,307324,14951,292373,79354,66776,12578,794,11784,39845,34235,24811,6
8,1,2,2,13,29.2,35.6,22.2,6735981,3779351,1552904,192236,20135,1340533,1403726,196051,34358,19277,7921,981,103,6838,7160,5205159,3816004,1008222,698460,309762,380933,1372,379561,121322,98291,23031,275,22756,42904,38824,16680,8
7,1,2,2,23.6,36,26.1,14.3,752730,387371,242867,43427,4058,195382,122492,28336,26564,13671,8571,1533,143,6895,4323,364784,251762,68681,49236,19445,44341,333,44008,9961,7012,2949,551,2398,36621,35904,18352,0
10,1,6,5,15,33.1,32.6,19.4,1378138,794843,375992,49719,2411,323862,207303,39003,35334,20379,9640,1275,62,8304,5315,801485,499019,150495,121008,29487,151971,29323,122648,18697,14196,4501,521,3980,42867,35152,30816,1
8,1,3,2,14.1,26.5,32.6,26.7,2699385,1458790,432111,39264,4548,388299,808484,59179,45614,24650,7302,663,77,6561,13662,1229235,794417,181159,122691,58468,253659,4721,248938,33975,23035,10940,610,10330,36181,34487,24099,13
2,1,2,2,31.2,35.3,22.6,10.9,738201,442743,210377,21787,1271,187319,85081,27512,26832,16093,7647,792,46,6809,3093,324707,198431,50064,35143,14921,76212,30787,45425,11190,8222,2968,631,2337,29018,24134,19437,0
1,1,1,1,32.1,22.3,23.9,21.7,89171620,53639962,14735037,2078620,125870,12530547,20796621,2405911,37064,22295,6125,864,52,5208,8644,67660193,48687033,10270843,6875574,3395269,8702317,52961,8649356,1420814,1106519,314295,1581,312714,47621,44000,27659,209
10,1,2,2,21.5,30.7,34.5,13.3,899136,512054,288982,42921,1299,244762,98100,28812,31207,17772,10030,1490,45,8495,3405,402848,266644,73330,51589,21741,62874,14064,48810,11002,7736,3266,410,2856,36616,34468,17090,0
4,1,7,9,34.5,32.4,22.2,10.9,978775,525737,311250,31821,11275,268154,141788,37258,26270,14111,8354,854,303,7197,3806,483288,344819,90212,63405,26807,48257,4438,43819,13703,10415,3288,615,2673,35269,33108,16393,1
6,1,8,6,17.3,39.7,24.7,18.2,365878,185933,130769,26920,3170,100679,49176,13491,27120,13782,9693,1995,235,7463,3645,185433,114659,35067,26341,8726,35707,22627,13080,5308,3680,1628,381,1247,34935,31157,10489,0
2,1,1,1,39,32.5,19.4,9,890794,588706,215077,32399,2299,180379,87011,36950,24108,15933,5821,877,62,4882,2355,314798,209784,51711,35945,15766,53303,2827,50476,11767,7333,4434,489,3945,26753,28608,12795,3
1,1,6,4,36.5,29.5,23.1,10.8,812158,491769,213904,32733,2430,178741,106485,34705,23402,14170,6163,943,70,5150,3068,510293,340885,88272,62589,25683,81136,10964,70172,15509,12195,3314,634,2680,32903,27953,26184,0
1,1,9,10,32.5,33.8,23.2,10.5,184959,107760,55715,6402,456,48857,21484,8111,22803,13286,6869,789,56,6024,2649,83755,56816,15754,11537,4217,11185,2405,8780,2734,1952,782,168,614,30635,29107,14300,0
2,1,4,5,34.4,38,16.9,10.7,1765274,1125005,328040,34457,2029,291554,312229,56835,31060,19794,5772,606,36,5130,5494,777957,537445,126980,94167,32813,113532,16532,97000,21336,15027,6309,988,5321,36462,35765,18230,1
0,1,7,9,31.8,33.3,21,13.8,460941,269480,124258,16334,1369,106555,67203,19583,23538,13761,6345,834,70,5441,3432,256258,178266,43801,30373,13428,34191,10426,23765,7858,6001,1857,473,1384,32611,29706,17171,0
4,1,3,2,23.6,34.1,23.8,18.5,2744942,1535274,695076,59543,21308,614225,514592,92526,29667,16593,7512,644,230,6638,5562,1387893,970847,255880,182830,73050,161166,12980,148186,43682,33172,10510,1445,9065,31773,29267,16347,1
10,1,7,9,24.9,37.4,25,12.6,656917,367212,195368,25901,956,168511,94337,20486,32067,17925,9537,1264,47,8226,4605,336658,191881,46330,32034,14296,98447,46480,51967,7827,5499,2328,407,1921,43012,34894,27052,0
3,1,8,7,33.6,34.9,21.2,10.4,322031,179648,104522,14507,1099,88916,37861,12636,25485,14217,8272,1148,87,7037,2996,157677,118781,24637,16205,8432,14259,4523,9736,4115,2902,1213,355,858,38318,40931,11347,0
4,1,9,8,33.3,34.5,22.4,9.8,489687,274329,146405,18131,3845,124429,68953,17344,28234,15817,8441,1045,222,7174,3976,216354,144747,37178,26303,10875,34429,18860,15569,6208,4542,1666,424,1242,34851,31869,12535,1
2,1,1,1,20.7,30,27.8,21.5,18722605,11605830,2524430,248330,17601,2258499,4592345,432683,43271,26823,5834,574,41,5220,10614,12859101,8756020,1801473,1238877,562596,2301608,243,2301365,265423,211695,53728,50,53678,48448,41361,42874,43
8,1,8,7,24.3,35.8,25,15,315157,158452,122723,19001,1603,102119,33982,11953,26366,13256,10267,1590,134,8543,2843,111265,59021,15767,11079,4688,36477,25943,10534,3344,1956,1388,286,1102,33273,30174,9559,0
0,1,9,8,33.3,34.5,22.4,9.8,420652,263182,110352,16970,1302,92080,47118,17496,24043,15042,6307,970,74,5263,2693,206768,125858,33316,24056,9260,47594,26671,20923,6114,4532,1582,446,1136,33819,27771,18418,0
3,1,2,2,30.7,30.2,27.6,11.6,786673,460668,227698,32006,2420,193272,98307,29584,26591,15572,7697,1082,82,6533,3323,360269,253335,69650,50487,19163,37284,7190,30094,12233,9407,2826,530,2296,29451,26930,13107,0
0,1,3,2,22.1,29.3,31.3,17.3,1272801,647897,437387,109584,5008,322795,187517,47715,26675,13578,9167,2297,105,6765,3930,784651,574588,146015,102422,43593,64048,251,63797,18149,14516,3633,252,3381,43234,39583,18869,2
9,1,3,2,9.8,27.8,31.7,30.7,7875234,4602407,1670285,126945,9254,1534086,1602542,199064,39561,23120,8391,638,46,7706,8050,3430467,2368668,548311,368769,179542,513488,3654,509834,99837,70747,29090,845,28245,34361,33481,18050,12
1,1,7,9,35.3,34.8,20.4,9.5,498047,288849,129611,18353,1127,110131,79587,21111,23592,13682,6140,869,53,5217,3770,270288,183492,45771,32213,13558,41025,13003,28022,8234,6329,1905,457,1448,32826,28992,19352,0
2,1,2,2,19.6,21.9,31.3,27.2,8031125,4850088,1470834,239472,13544,1217818,1710203,246546,32575,19672,5966,971,55,4940,6937,7663687,5622428,1299522,898311,401211,741737,1312,740425,174004,145000,29004,874,28130,44043,38775,26322,7
2,1,7,11,29.2,37.7,21.1,12.1,700247,390064,191580,28028,1777,161775,118603,26436,26488,14755,7247,1060,67,6119,4486,435251,310135,78079,55545,22534,47037,7653,39384,13784,10314,3470,292,3178,31577,30069,12393,0
3,1,1,1,16.1,26.5,29,28.3,10661320,7076737,1391113,106877,11623,1272613,2193470,229252,46505,30869,6068,466,51,5551,9568,4646158,3039455,674181,485530,188651,932522,-1007,933529,116916,81182,35734,503,35231,39739,37440,26497,23
8,1,3,2,16.1,33.7,31.4,18.8,1822526,1022719,524515,49806,6128,468581,275292,54528,33424,18756,9619,913,112,8593,5049,1370411,986541,249945,172080,77865,133925,25422,108503,30599,24641,5958,625,5333,44786,40037,20346,2
0,1,8,6,30.3,37.8,22.1,9.8,525012,312389,138087,18122,1074,118891,74536,20192,26001,15471,6839,897,53,5888,3691,215228,116082,32192,23371,8821,66954,36271,30683,6251,4519,1732,403,1329,34431,25688,23087,0
10,1,6,4,22.2,38.2,25.2,14.4,1057842,587309,335516,50066,1878,283572,135017,34153,30974,17196,9824,1466,55,8303,3953,606368,422425,99985,67720,32265,83958,1882,82076,16833,11970,4863,613,4250,36023,35290,19312,0
10,1,9,10,22.6,41.6,21.9,13.9,313302,159771,110555,12176,661,97718,42976,10038,31212,15917,11014,1213,66,9735,4281,120187,75790,23812,19065,4747,20585,-2076,22661,3866,2408,1458,480,978,31088,31474,23171,0
1,1,6,3,21.5,22.7,24.7,31.1,1317820,806006,204747,15781,2107,186859,307067,44281,29760,18202,4624,356,48,4220,6935,920321,641399,169796,123279,46517,109126,2180,106946,26690,21194,5496,431,5065,34482,30263,21115,6
4,1,2,2,21.3,32.2,25.9,20.6,9793652,5893266,2000502,271697,47453,1681352,1899884,253245,38673,23271,7899,1073,187,6639,7502,7588619,5062346,1219238,894156,325082,1307035,-155,1307190,162007,129309,32698,523,32175,46841,39149,40628,12
8,1,7,9,19.8,33.7,25.6,21,311024,148201,116421,13338,1496,101587,46402,10575,29411,14014,11009,1261,141,9606,4388,134923,88150,22597,15911,6686,24176,7917,16259,4024,2954,1070,293,777,33530,29841,20925,0
5,1,4,3,8.8,27.8,31.6,31.8,4473432,1841866,529043,39240,19857,469946,2102523,73219,61097,25156,7225,536,271,6418,28716,2106018,1540868,364760,248329,116431,200390,0,200390,53678,38029,15649,0,15649,39234,40518,12805,15
5,1,6,5,19.3,34.6,30.1,15.9,1091964,564736,376896,56824,8364,311708,150332,40447,26997,13962,9318,1405,207,7707,3717,670962,465660,117321,82677,34644,87981,3347,84634,20976,15714,5262,469,4793,31987,29633,17658,0
5,1,6,6,21.7,38.3,27.9,12.1,563684,319233,182406,24802,4391,153213,62045,23738,23746,13448,7684,1045,185,6454,2614,286869,176632,46654,32702,13952,63583,36079,27504,8649,6467,2182,586,1596,33168,27313,17233,0
4,1,9,8,39.5,28.3,21.9,10.3,231109,104612,92677,10817,2455,79405,33820,10526,21956,9938,8805,1028,233,7544,3213,76932,54909,16850,12617,4233,5173,2961,2212,3001,2120,881,373,508,25635,25900,4354,0
0,1,1,1,39.5,30.2,21.3,9.1,251934,153504,60555,13701,1045,45809,37875,10425,24166,14725,5809,1314,100,4394,3633,596488,472366,84178,46553,37625,39944,23199,16745,16609,15931,678,79,599,35914,29651,27955,0
7,1,9,8,15.9,37.3,32.9,13.9,527657,296806,161114,19748,2406,138960,69737,16553,31877,17931,9733,1193,145,8395,4213,240979,167214,42669,29283,13386,31096,10798,20298,6392,4687,1705,385,1320,37700,35676,15377,0
3,1,8,6,37.6,30.4,22,10,264422,121474,107180,22221,1321,83638,35768,10722,24662,11329,9996,2072,123,7801,3336,119871,72141,19879,14351,5528,27851,12814,15037,3973,2801,1172,333,839,30171,25755,17923,0
8,1,9,10,18.6,35.6,28.5,17.3,240776,135059,77391,9398,962,67031,28326,8455,28477,15974,9153,1112,114,7928,3350,128452,86330,22680,16224,6456,19442,5993,13449,3434,2405,1029,212,817,37406,35896,16461,1
1,1,3,2,25.2,30.2,32.2,12.4,407347,245293,106328,9613,1153,95562,55726,15968,25510,15362,6659,602,72,5985,3490,192774,133504,33566,23736,9830,25704,983,24721,6740,4766,1974,277,1697,28601,28012,14567,0
9,1,7,11,18.5,44.3,24.2,13,809571,439186,253046,34799,1825,216422,117339,24865,32559,17663,10177,1400,73,8704,4719,473317,336107,84421,60203,24218,52789,4164,48625,12052,8946,3106,242,2864,39273,37571,16978,0
0,1,6,6,27.4,37.1,25.3,10.1,365012,209528,86491,7921,587,77983,68993,15781,23130,13277,5481,502,37,4942,4372,203560,130786,39226,30150,9076,33548,0,33548,5866,4303,1563,0,1563,34702,30394,21464,0
10,1,7,11,19.3,35.3,31.9,13.4,910201,479028,285780,28188,1496,256096,145393,30116,30223,15906,9489,936,50,8504,4828,501986,339334,91186,64723,26463,71466,30258,41208,13371,10375,2996,645,2351,37543,32707,17528,2
2,1,8,4,41.2,32.2,18.8,7.8,182450,111436,55902,7390,564,47948,15112,8603,21208,12953,6498,859,66,5573,1757,56553,35375,9574,6931,2643,11604,688,10916,2107,1294,813,268,545,26841,27338,20029,1
6,1,7,11,16.8,39.6,28.1,15.4,658510,341942,208655,32505,4293,171857,107913,20649,31891,16560,10105,1574,208,8323,5226,360642,249971,68421,49191,19230,42250,8569,33681,9855,7412,2443,448,1995,36595,33725,16883,0
8,1,1,1,15.1,31.4,28.3,25.2,19453497,12514515,3426715,370312,29049,3027354,3512267,435197,44700,28756,7874,851,67,6956,8071,14007210,9559127,1987336,1355148,632188,2460747,3605,2457142,273331,208206,65125,51,65074,51246,45912,37759,59
4,1,6,5,26.4,39.7,21,12.9,467836,266053,141272,13525,2580,125167,60511,16118,29026,16507,8765,839,160,7766,3754,213735,134948,34786,26974,7812,44001,3288,40713,5109,3846,1263,173,1090,41835,35088,37351,1
3,1,9,8,33.3,34.5,22.4,9.8,502050,296778,138310,16281,1472,120557,66962,17550,28607,16910,7881,928,84,6869,3815,232089,158124,38394,26920,11474,35571,16336,19235,6546,4831,1715,436,1279,35455,32731,15039,1
7,1,7,9,19.8,33.7,25.6,21,302791,141027,114327,13699,1856,98772,47437,10599,28568,13306,10787,1292,175,9319,4476,121232,84332,21816,15165,6651,15084,-1928,17012,4023,2948,1075,296,779,30135,28607,21838,1
4,1,7,8,31.9,34.8,21.5,11.7,968565,497468,325128,30616,9125,285387,145969,36868,26271,13493,8819,830,248,7741,3959,595401,441525,105146,71895,33251,48730,-423,49153,16581,13444,3137,452,2685,35909,32842,18307,0
5,1,3,2,20.2,37.8,30.3,11.8,577747,301478,194139,25999,5038,163102,82130,19749,29254,15265,9830,1316,255,8259,4159,195863,120144,34656,25089,9567,41063,15531,25532,5849,4038,1811,404,1407,33487,29753,18146,0
1,1,7,8,29.7,32,25.7,12.5,976530,552929,287309,39325,2262,245722,136292,40241,24267,13740,7140,977,56,6106,3387,661533,469341,118417,83195,35222,73775,-1340,75115,21983,17323,4660,508,4152,30093,27094,18091,1
7,1,7,9,25.5,36.5,26.2,11.8,519806,282508,163824,20932,2849,140043,73474,17497,29708,16146,9363,1196,163,8004,4199,307911,197467,48282,31323,16959,62162,20930,41232,8720,6401,2319,485,1834,35311,30849,22482,0
7,1,1,1,15.8,37.3,30.5,16.4,1658644,1139411,340608,56207,5556,278845,178625,44728,37083,25474,7615,1257,124,6234,3994,1194043,794371,208639,158283,50356,191033,1771,189262,21020,15739,5281,16,5265,56805,50472,35947,1
10,1,7,8,19.2,33.5,31.3,15.9,1217167,650463,393689,35015,1453,357221,173015,37250,32676,17462,10569,940,39,9590,4645,714263,526436,121945,82061,39884,65882,1822,64060,19179,15012,4167,429,3738,37242,35068,17138,1
9,1,7,9,29.1,34.6,26.2,10.1,388474,202029,135534,23503,985,111046,50911,14701,26425,13743,9219,1599,67,7554,3463,188261,113472,28098,18982,9116,46691,23424,23267,5178,3692,1486,432,1054,36358,30735,22075,0
2,1,3,2,23,34.6,25.6,16.9,6327311,3928813,1090371,114411,8259,967701,1308127,187081,33821,21001,5828,612,44,5173,6992,4706934,3472500,849549,631277,218272,384885,-1111,385996,109153,91597,17556,815,16741,43122,37911,23057,4
4,1,7,9,31.8,33.3,21,13.8,496197,242475,173745,23295,6520,143930,79977,19211,25829,12622,9044,1213,339,7492,4163,210930,151528,38398,26906,11492,21004,7712,13292,7267,5243,2024,457,1567,29026,28901,8482,2
8,1,7,9,31.8,30.1,25.3,12.9,381448,223757,120792,23879,1651,95262,36899,11052,34514,20246,10929,2161,149,8619,3339,189364,80010,22210,15913,6297,87144,64106,23038,4849,2797,2052,485,1567,39052,28606,14702,1
7,1,8,6,18.3,36.8,28.8,16.1,561802,309336,174407,23836,2456,148115,78059,19442,28896,15911,8971,1226,126,7618,4015,262235,171354,44892,31342,13550,45989,10979,35010,7927,5573,2354,424,1930,33081,30747,18140,1
10,1,4,5,20.2,48.9,20.2,10.6,2096470,1215674,503539,59745,3502,440292,377257,52920,39616,22972,9515,1129,66,8320,7129,1819603,1381407,317720,230559,87161,120476,-8724,129200,32648,27076,5572,96,5476,55734,51020,23594,2
7,1,2,2,21.5,43.5,22.3,12.7,2919444,1834220,596506,89534,7022,499950,488718,73783,39568,24860,8085,1213,95,6776,6624,2274051,1649537,335997,229186,106811,288517,-1710,290227,44220,34971,9249,210,9039,51426,47169,32108,12
9,1,8,7,23.1,42.8,21.8,12.4,309777,169853,100752,10278,474,90000,39172,9946,31146,17078,10130,1033,48,9049,3938,132700,87361,25862,20283,5579,19477,-1059,20536,3892,2729,1163,241,922,34096,32012,22273,0
3,1,4,5,18,29.6,29.3,23.1,6286039,3662845,1141954,70757,11210,1059987,1481240,175827,35751,20832,6495,402,64,6029,8424,2871664,2113709,471021,315696,155325,286934,-5250,292184,92684,68177,24507,948,23559,30983,31003,12402,7
10,1,4,5,12.8,32.2,32.1,22.9,1730681,995801,446614,61268,2368,382978,288266,47510,36428,20960,9400,1290,50,8061,6067,1236126,928211,246018,172281,73737,61897,332,61565,26838,21916,4922,187,4735,46059,42353,13002,2
8,1,5,8,16.8,25.9,33.9,23.5,2960763,1868453,660899,75527,9548,575824,431411,84961,34848,21992,7779,889,112,6778,5078,2742073,2021085,443828,287198,156630,277160,13793,263367,64455,54581,9874,441,9433,42542,37029,27920,14
0,1,9,10,41.2,31.2,20.5,7.1,43107,32677,6597,1519,206,4872,3833,1720,25062,18998,3835,883,120,2833,2228,25838,7813,2000,1405,595,16025,14625,1400,456,334,122,74,48,56662,23392,29167,0
7,1,6,4,22.4,33.7,29.4,14.5,629083,343657,208602,23561,3146,181895,76824,21904,28720,15689,9523,1076,144,8304,3507,304422,207392,53246,36053,17193,43784,-382,44166,9338,6597,2741,598,2143,32600,31437,20609,0
2,1,3,2,23.6,34.1,23.8,18.5,2711149,1574248,585068,48926,6302,529840,551833,91107,29758,17279,6422,537,69,5816,6057,1394920,968293,236098,164596,71502,190529,21859,168670,45370,35230,10140,1530,8610,30745,27485,19590,3
6,1,2,2,13.5,26.4,25.2,34.9,21341492,7405497,2708576,199013,59748,2449815,11227419,327667,65132,22601,8266,607,182,7477,34265,7751079,5301096,1053556,676066,377490,1396427,41647,1354780,176891,123692,53199,243,52956,43818,42857,25583,61
5,1,9,8,17.9,34.5,31.2,16.4,296404,165111,92654,10805,2397,79452,38639,10602,27957,15574,8739,1019,226,7494,3645,62333,38800,10146,7060,3086,13387,-3522,16909,2734,1396,1338,456,882,22799,27794,19171,0
3,1,3,2,32.9,35.8,19,12.3,4385737,3019682,699509,86767,5477,607265,666546,111453,39351,27094,6276,779,49,5449,5981,3596321,2708193,533291,363376,169915,354837,8913,345924,72088,60687,11401,133,11268,49888,44626,30700,5
3,1,8,7,27.1,34.2,26.8,12,357521,200838,115097,10987,1170,102940,41586,13038,27421,15404,8828,843,90,7895,3190,174397,116859,28726,20260,8466,28812,13482,15330,4615,3234,1381,389,992,37789,36135,15454,0
3,1,8,7,34.6,38.6,18,8.8,312485,183537,94499,9120,650,84729,34449,10224,30564,17952,9243,892,64,8287,3369,115509,82586,23024,17981,5043,9899,-1275,11174,3934,2887,1047,255,792,29362,28606,14109,0
5,1,2,2,13,29.2,35.6,22.2,6537042,3753883,1417256,165397,36445,1215414,1365903,187838,34801,19985,7545,881,194,6471,7272,5177508,3743769,985558,690554,295004,448181,-1572,449753,118388,99022,19366,294,19072,43733,37807,23582,14
6,1,1,1,21.3,29.5,32,17.1,307170,166365,94567,21650,3175,69742,46238,10580,29033,15724,8938,2046,300,6592,4370,484513,386662,69345,35556,33789,28506,19459,9047,13203,11923,1280,82,1198,36697,32430,7552,0
0,1,4,5,26.1,32.2,27.6,14,1808624,1054743,489386,53193,3941,432252,264495,65871,27457,16012,7429,808,60,6562,4015,1339356,941081,250006,181168,68838,148269,50390,97879,36937,31188,5749,929,4820,36261,30174,20307,1
3,1,2,2,30.9,39.1,17.3,12.8,788681,482456,168812,22328,1374,145110,137413,22966,34341,21007,7351,972,60,6318,5983,311825,211638,55584,41348,14236,44603,12537,32066,8977,6326,2651,366,2285,34736,33455,14033,0
1,1,7,10,45.6,24.2,19.2,10.9,314481,174408,93082,17641,996,74445,46991,15283,20577,11412,6091,1154,65,4871,3075,128631,80999,20973,14899,6074,26659,13347,13312,4521,3371,1150,384,766,28452,24028,17379,0
9,1,2,2,10.3,26.2,34.3,29.2,6226424,4277381,1093221,83247,5562,1004412,855822,148406,41955,28822,7366,561,37,6768,5767,3866015,2576246,572259,382631,189628,717510,45226,672284,85378,65897,19481,565,18916,45281,39095,35540,6
10,1,3,2,15.3,37.1,27.5,20.1,5581124,3084823,1578941,143996,7532,1427413,917360,131993,42283,23371,11962,1091,57,10814,6950,3757732,2478895,660620,496442,164178,618217,11555,606662,76220,62487,13733,690,13043,49301,39671,46512,7
7,1,6,6,20.6,39,25,15.4,689348,389330,208556,28227,2800,177529,91462,20919,32953,18611,9970,1349,134,8486,4372,346567,216165,57809,43094,14715,72593,34312,38281,9671,6962,2709,648,2061,35836,31049,18574,0
6,1,9,10,18.6,35.6,28.5,17.3,219045,113893,75358,9187,1404,64767,29794,8443,25944,13490,8926,1088,166,7671,3529,105889,71981,18942,13441,5501,14966,979,13987,3145,2187,958,223,735,33669,32913,19030,0
9,1,4,3,8.8,27.8,31.6,31.8,5477252,2085487,592373,41849,2677,547847,2799392,76492,71606,27264,7744,547,35,7162,36597,2425799,1723599,386244,260255,125989,315956,0,315956,60201,42072,18129,0,18129,40295,40968,17428,20
2,1,7,8,29.7,32,25.7,12.5,1000646,555708,297808,41745,2102,253961,147130,40141,24928,13844,7419,1040,52,6327,3665,661522,469780,118906,84102,34804,72836,-704,73540,22039,16997,5042,512,4530,30016,27639,16234,0
0,1,2,2,17.9,28.3,32.7,21,8886428,5399671,1640904,197995,10772,1432137,1845853,298339,29786,18099,5500,664,36,4800,6187,6957198,5119555,1351701,980023,371678,485942,4409,481533,172394,146989,25405,590,24815,40356,34830,19405,18
3,1,3,2,19,30.6,32.7,17.7,6097526,3543208,1159220,100811,18528,1039881,1395098,166267,36673,21310,6972,606,111,6254,8391,4103972,2988025,763891,546114,217777,352056,-66,352122,99109,81267,17842,113,17729,41409,36768,19861,15
5,1,3,2,14.1,35.3,28.1,22.5,2886404,1616473,752448,67520,22147,662781,517483,92735,31125,17431,8114,728,239,7147,5580,1421988,971691,259383,182268,77115,190914,-394,191308,43230,32756,10474,1425,9049,32894,29665,21141,4
10,1,2,2,22.5,38.8,23.8,15,1217285,752502,304837,39441,2003,263393,159946,33152,36718,22699,9195,1190,60,7945,4825,1333741,1035599,258443,193704,64739,39699,-2506,42205,20110,16672,3438,127,3311,66322,62116,12747,2
3,1,7,8,36.6,33.7,18.7,11,285619,145326,103251,21013,980,81258,37042,12340,23146,11777,8367,1703,79,6585,3002,150969,108462,32113,25703,6410,10394,237,10157,4949,3914,1035,260,775,30505,27711,13106,1
4,1,3,2,35.2,34.9,19.4,10.5,248314,107672,84797,16498,2006,66293,55845,9182,27044,11726,9235,1797,218,7220,6082,111521,74553,24568,18895,5673,12400,8251,4149,3432,2423,1009,268,741,32494,30769,5599,0
8,1,2,2,18.5,33.9,24.6,23,500073,318896,85252,8358,890,76004,95925,15448,32371,20643,5519,541,58,4920,6210,422585,285238,86989,71936,15053,50358,14615,35743,7268,5622,1646,135,1511,58143,50736,23655,4
4,1,8,6,35.4,36,20,8.7,485313,233804,173915,12727,4895,156293,77594,19552,24822,11958,8895,651,250,7994,3969,224154,162377,43527,31145,12382,18250,-494,18744,7117,5648,1469,284,1185,31496,28749,15818,2
2,1,2,2,18.2,27.4,30.6,23.8,4854574,3367748,696981,52640,5740,638601,789845,136694,35514,24637,5099,385,42,4672,5778,3036037,2190414,480758,323777,156981,364865,15281,349584,80205,63168,17037,668,16369,37853,34676,21356,12
7,1,5,8,20.5,34.8,27.4,17.4,1034276,518288,319010,45373,4252,269385,196978,32175,32145,16108,9915,1410,132,8372,6122,625687,418661,94404,62120,32284,112622,3159,109463,16401,12171,4230,155,4075,38149,34398,26862,0
8,1,5,8,11.9,21.1,24.4,42.6,1465692,885916,312114,41330,5232,265552,267662,49076,29866,18052,6360,842,107,5411,5454,1042998,724377,201015,147257,53758,117606,14702,102904,27185,22205,4980,337,4643,38367,32622,22163,17
8,1,8,7,20.5,37.6,28.7,13.3,421236,215063,147705,15075,1228,131402,58468,14210,29644,15135,10394,1061,86,9247,4115,182552,126660,32859,22880,9979,23033,2947,20086,5517,3696,1821,321,1500,33089,34269,13391,0
5,1,2,2,17.1,37.5,25.3,20.1,910548,659637,161393,21024,5011,135358,89518,23953,38014,27539,6738,878,209,5651,3737,713312,496203,129483,96759,32724,87626,4134,83492,14210,11689,2521,98,2423,50198,42450,34458,0
6,1,6,4,22.4,33.7,29.4,14.5,612692,328497,208337,22815,4046,181476,75858,22026,27817,14914,9459,1036,184,8239,3444,301589,207404,52710,35389,17321,41475,662,40813,9461,6634,2827,598,2229,31877,31264,18310,0
9,1,9,8,17.9,34.5,31.2,16.4,329205,184895,96025,9554,543,85928,48285,10233,32171,18069,9384,934,53,8397,4719,63423,41566,11331,8084,3247,10526,-12692,23218,2775,1442,1333,429,904,22855,28825,25684,0
4,1,9,10,33,34,22.5,10.4,360215,179087,133908,17772,3266,112870,47220,15505,23232,11550,8636,1146,211,7280,3045,136302,86814,22479,15824,6655,27009,8739,18270,5091,3168,1923,626,1297,26773,27403,14086,0
2,1,1,1,36.8,35.7,20.4,7.1,540644,346947,136071,15750,997,119324,57626,22438,24095,15462,6064,702,44,5318,2568,204190,145323,37815,27119,10696,21052,2656,18396,6565,4788,1777,186,1591,31103,30352,11563,0
1,1,9,8,31.2,36.8,22.3,9.6,434655,265424,124612,12580,920,111112,44619,16976,25604,15635,7340,741,54,6545,2628,135098,89221,23834,17269,6565,22043,4125,17918,4933,3396,1537,324,1213,27387,26272,14772,0
7,1,9,8,17.9,34.5,31.2,16.4,327218,186753,96012,10711,1502,83799,44453,10401,31460,17955,9231,1030,144,8057,4274,74408,43073,11351,7757,3594,19984,-4913,24897,2791,1473,1318,435,883,26660,29242,28196,0
2,1,3,2,19,30.6,32.7,17.7,5897951,3528582,1017523,89567,9858,918098,1351846,165345,35671,21341,6154,542,60,5553,8176,4086851,2982734,742797,525898,216899,361320,65,361255,100794,82430,18364,120,18244,40547,36185,19801,25
7,1,9,10,24.6,35.9,28.2,11.2,402572,205110,146732,16336,1995,128401,50730,14830,27146,13831,9894,1102,135,8658,3421,163580,115033,29451,20158,9293,19096,-4869,23965,5756,3895,1861,523,1338,28419,29534,17911,0
5,1,1,1,20.6,41.3,25,13.1,930839,543620,293549,46040,9076,238433,93670,37050,25124,14673,7923,1243,245,6435,2528,316385,220921,54345,37324,17021,41119,-4612,45731,11585,6988,4597,498,4099,27310,31614,11157,2
